"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Swim","Swim","300 snorkel + fins 300 snorkel + pull 5x100 zona 2 - descanso 15"" 300 zona 2 com palas - descanso 50"" 2x200 zona 3 com palas e fins - descanso 30"" 100 com fins - máximo 100 easy","0.666666666666667","2000","2025-09-30","","2000","","","","","0.614433612823486","0.901713255184851","","23","","140","157","","","0.813757563982163","33.11","5","14","14","5","0","0","0","","","","","","","","","","","","","","","3"
"Bike tempo - 4x5'","Bike","20' aquecimento easy 4x5min Zn3 - recuperação 2' easy 12' cooldwon","1","","2025-10-01","","26129.830078125","143","206","463.332","","0.896905243396759","8.0930004119873","","88","","","","","","0.684990902200944","41.71","","","","","","","","","","","34","20","0","0","0","0","","","","","",""
"AE1","Run","Imediatamente a seguir à bike, corrida em zona 1 num percurso plano e piso macio","0.25","","2025-10-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-10-01","","0","","","","","0.661084473133087","0","","","","80","105","","","0.536033995367972","20.83","40","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Tempo run progressivo","Run","15' aquecimento 1' fast + 1' easy 2' fast + 2' easy 3' fast + 3' easy 4'fast + 4' easy 5' fast + 5' easy 5' cooldown","0.833333333333333","","2025-10-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim - palas + fins","Swim","400 snorkel + fins 400 snorkel + pull 8x50 pernas com barbatanas - saída 50"" 4x100 - saída 1'45 com palas + fins 200 easy 4x100 - saída 1'45 com palas + fins 200 easy","0.666666666666667","2400","2025-10-03","","1575","","","","","0.504162225193448","0.863960504662644","","22","","137","163","","","0.780998615770782","24.02","9","10","5","6","1","0","0","","","","","","","","","","","","","","","5"
"Running","Run","","","","2025-10-03","","8013.759765625","","","","","0.746886372566223","2.98000001907349","","154","","170","185","","","0.910560409476649","68.18","1","1","0","1","2","23","17","","","","","","","","","","","","","","",""
"Sweet Spot + zona 2","Bike","Warm up 15' 5' @ 100% 5' Easy 2x20' @ Sweet Spot 1 (15' Intervalo) 10x1' @ Sweet Spot 2 (+105 rpm) 2' Intervalo 1h30 Zona 2 15' Cooldown","3.58333333333333","","2025-10-04","","72438.3515625","","","","","2.48599529266357","8.0939998626709","","","","139","164","","","0.727286767829643","149.03","30","65","35","18","1","0","0","","","","","","","","","","","","","","",""
"Transição - 8kms a race pace","Run","Transição 1km - W-up 8kms - race pace 1km - easy","0.842222222222222","","2025-10-04","","9023.58984375","","","","","0.848357498645782","2.95499992370605","","157","","162","175","","","0.904918564300737","76.64","1","0","3","15","9","20","3","","","","","","","","","","","","","","6","3"
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2","","2025-10-05","","62875.2109375","","","","","2.09360885620117","8.34200000762939","","","","139","169","","","0.753460820714494","134.12","29","29","33","30","4","1","0","","","","","","","","","","","","","","5","3"
