"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Base Builder (Heart Rate)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","1.5","","2025-12-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40 com 100metros","Run","15' Aquecimento Depois do aquecimento a cada km os primeiros 100 são em sprint e os restantes 900m em zona 2","0.761111111111111","","2025-12-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Minute Monster (Heart Rate)","Bike","","1.21666666666667","","2025-12-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-12-24","","5132.7900390625","","","","","0.500348329544067","2.84999990463257","","153","","163","186","","","0.867720969807547","41.13","2","2","1","2","2","10","10","","","","","","","","","","","","","","",""
"DAY OFF - Natal","Day Off","","","","2025-12-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40' Run @Zn2","Run","Corrida em Zn2, piso soft e cadência +88 Pulso @140 5' descontração a andar","0.666666666666667","","2025-12-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Builder (Heart Rate)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","1.5","","2025-12-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-12-27","","1004.09997558594","306","570","110.743","","0.100300557911396","2.78099989891052","","154","","142","153","","","1.36687314702283","17.22","1","2","2","1","0","0","0","","","","0","0","1","3","1","1","","","","","",""
"Running","Run","","","","2025-12-27","","10129.5595703125","349","445","1151.893","","0.915263891220093","3.07399988174438","","156","","184","201","","","1.49873995842413","203.66","1","1","3","3","0","0","48","","","","0","0","0","6","30","19","","","","","",""
"Base Builder (Heart Rate)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2","","2025-12-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30' Run - Zn2","Run","Corrida em Zn2 com piso soft Pulso @140","0.5","","2025-12-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim Z2","Swim","400 snorkel + fins 200 pull 400 pernas com fins - 200 Catch-up com palas 200 com palas - braço parado à frente (25 braço direito + 25 braço esquerdo) 200 com braço ao longo do corpo e respira para o lado oposto (25 braço direito + 25 braço esquerdo) 6x100 zona 2 - 20"" intervalo 200 easy","0.833333333333333","2400","2025-12-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Minute Monster (Heart Rate)","Bike","","1.21666666666667","","2025-12-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAY OFF - Ano novo","Day Off","","","","2026-01-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40' Run @Zn2","Run","Corrida em Zn2, piso soft e cadência +88 Pulso @140 5' descontração a andar","0.666666666666667","","2026-01-02","","7210.5498046875","331","499","798.256","","0.669718384742737","2.9909999370575","","155","","171","186","","","1.42181794928986","133.71","1","1","2","0","0","9","26","","","","0","0","0","13","22","5","","","","","",""
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","1.5","","2026-01-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1","Run","Imediatamente a seguir à bike, corrida em zona 1 num percurso plano e piso macio","0.25","","2026-01-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","1.5","","2026-01-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40' Run @Zn2","Run","Corrida em Zn2, piso soft e cadência +88 Pulso @140 5' descontração a andar","0.666666666666667","","2026-01-05","","7579.02978515625","305","520","879.123","","0.800809979438782","2.62899994850159","","157","","155","178","","","1.35189895969783","145.03","2","6","8","15","10","4","3","","","","0","3","11","14","13","6","","","","","",""
"Swim - 300z2","Swim","400 snorkel + fins 400 snorkel + pull 8x50 bolas - mão direita, mão esquerda, duas, sem nada. repete 4x300 z2/3 - 30"" rest 200 easy","0.833333333333333","2600","2026-01-06","","1575","","","","","0.506755557590061","0.863013698630137","","23","","149","177","","","0.777001838662663","23.77","5","7","4","6","2","6","1","","","","","","","","","","","","","","",""
"Rolos 1 - Técnica","Bike","20min up to Zn2 (easy) @90rpm 10min 5x(30""SPR + 30""SPL + 1'spin easy) Pedalar redondo 22min (cadência(90/100/110/120/130/all out/130/120/110/100/90) - 30"" cada degrau e 1'30RI @90rpm) Não tirar o rabo do selim e não oscilar o tronco (speed) 10min cooldown @90rpm","1.03333333333333","","2026-01-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30' Run - Zn2 + 6 retas","Run","Corrida em Zn2 com piso soft Pulso @140 No final fazer 6 retas progressivas de 20""","0.5","","2026-01-08","","5171.27978515625","307","510","574.811","","0.520717203617096","2.7590000629425","","157","","165","181","","","1.32053606058967","89.28","1","0","1","1","5","18","5","","","","0","0","3","20","6","2","","","","","",""
"Swim - Z2 palas","Swim","400 snorkel + fins 400 snorkel + pull 4x75 palas z2 - descanso 15"" 5x300 com pull e palas z2/z3 - descanso 20"" 200 easy","0.833333333333333","2800","2026-01-09","","1500","","","","","0.460576947000292","0.901984365604329","","22","","148","172","","","0.814196199880066","24.86","3","6","2","12","2","2","0","","","","","","","","","","","","","","","5"
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","1.5","","2026-01-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1","Run","Imediatamente a seguir à bike, corrida em zona 1 num percurso plano e piso macio","0.25","","2026-01-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Data limite pagamento Coach","Custom","","","","2026-01-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2","","2026-01-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50' Run - Zn2","Run","Corrida em Zn2 com piso soft Pulso @140","0.833333333333333","","2026-01-12","","8504.7998046875","308","532","961.555","","0.866973340511322","2.72499990463257","","159","","153","169","","","1.3422480816851","154.93","1","2","12","33","3","1","0","","","","0","0","6","29","11","6","","","","","",""
"Swim","Swim","400 snorkel + fins 8x50 pull com 15"" intervalo 4x25 progressivo dentro dos 25 - 15"" descanso 8x25 máximo com 1' intervalo 200 easy 8x50 pernas com barbatanas saída a cada 1' 200 cooldown","0.666666666666667","1900","2026-01-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fitness Equipment","Other","","","","2026-01-13","","0","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rolos 1 - Técnica","Bike","20min up to Zn2 (easy) @90rpm 10min 5x(30""SPR + 30""SPL + 1'spin easy) Pedalar redondo 22min (cadência(90/100/110/120/130/all out/130/120/110/100/90) - 30"" cada degrau e 1'30RI @90rpm) Não tirar o rabo do selim e não oscilar o tronco (speed) 10min cooldown @90rpm","1.03333333333333","","2026-01-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40' Run @Zn2 + 6 retas","Run","Corrida em Zn2, piso soft e cadência +88 Pulso @140 No final fazer 6 retas progressivas de 20""","0.666666666666667","","2026-01-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12,5 Fast","Swim","400 snorkel + fins 400 snorkel + pull 8x25 progressivo nos 25m - saída 40"" 20x50 (12,5 fast + 37,5 easy) - 15"" descanso 10 com palas 10 com fins 200 easy","0.75","2000","2026-01-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Builder (Heart Rate)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","1.75","","2026-01-17","","37736.16015625","107","138","553.66","","1.43314611911774","7.31500005722046","","74","","","","","","0.46081036148377","30.18","","","","","","","","","","","86","0","0","0","0","0","","","","","",""
"Transição - 15' Run - Zn3","Run","Corrida em Zn3","0.25","","2026-01-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Builder (Heart Rate)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2","","2026-01-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60' Run - Zn2","Run","Corrida em Zn2 com piso soft Pulso @140","1","","2026-01-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rolos 1 - Técnica","Bike","20min up to Zn2 (easy) @90rpm 10min 5x(30""SPR + 30""SPL + 1'spin easy) Pedalar redondo 22min (cadência(90/100/110/120/130/all out/130/120/110/100/90) - 30"" cada degrau e 1'30RI @90rpm) Não tirar o rabo do selim e não oscilar o tronco (speed) 10min cooldown @90rpm","1.03333333333333","","2026-01-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-01-21","","7322.509765625","305","461","844.366","","0.768205285072327","2.64800000190735","","155","","153","182","","","1.33317686668528","135.59","3","5","10","16","3","4","5","","","","0","1","9","20","10","6","","","","","",""
"Base Builder (Heart Rate)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","1.75","","2026-01-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Transição - 20' Run - Zn3","Run","Corrida em Zn3","0.333333333333333","","2026-01-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Builder (Heart Rate)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2.5","","2026-01-25","","33684.30859375","122","154","535.353","","1.21701419353485","7.68900012969971","","78","","","","","","0.525216134232613","33.23","","","","","","","","","","","73","0","0","0","0","0","","","","","",""
"15' Z1 + 45' em zona 2percurso sobe e desce","Run","15' Z1 + 45' em zona 2percurso sobe e desce","1","","2026-01-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Swim","400 Snorkel + fins 4x50 Pull saída ao 1' 2x 4x50 Fast 4x25 easy saída aos 45"" (1 set com barbatanas, 2 set com palas) 8x50 pernas com barbatanas saída ao 1' 300 snorkel + pull + palas 100 cooldown","0.666666666666667","1900","2026-01-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-27","","0","","","","","0.815427541732788","0","","","","93","159","","","0.575048764126958","29.71","47","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"10x(30"" Fast + 1'30 Easy)","Bike","30min up to Zn2 (easy) @90RPM 10x(30"" Fast + 1'30 Easy) 10min Cooldown @90rpm","1","","2026-01-28","","21025.48046875","123","300","338.652","","0.765146970748901","7.63399982452393","","81","","","","","","0.625283412593719","29.61","","","","","","","","","","","43","0","0","3","0","0","","","","","",""
"Rampas - 4x2'","Run","20' aquecimento 4x2' rampa forte com recuperação a descer a trote 5' easy","0.75","","2026-01-29","","7279.14013671875","320","496","833.118","","0.72184807062149","2.80100011825562","","159","","167","192","","","1.45507652591663","151.82","1","2","5","8","2","4","22","","","","0","4","7","11","11","10","","","","","",""
"Swim 8","Swim","500 snorkel 8x50 pull descanso 10"" 8x50 pernas torpedo (snorkel + barbatanas) saído ao 1' 700 com snorkel + palas + pull 200 cooldwon","1","2200","2026-01-30","","2075","","","","","0.596185002190371","0.964219330855019","","23","","133","173","","","0.870115816557148","39.27","13","14","5","3","0","0","0","","","","","","","","","","","","","","","5"
"Bike tempo - 4x5'","Bike","20' aquecimento easy 4x5min Zn3 - recuperação 2' easy 12' cooldwon","1","","2026-01-31","","24464.720703125","146","202","439.025","","0.833995580673218","8.14900016784668","","87","","","","","","0.69506210347066","39.83","","","","","","","","","","","30","20","0","0","0","0","","","","","",""
"Transição . 20' Run - Zn3","Run","Corrida em Zn3","0.333333333333333","","2026-01-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Builder (Heart Rate)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2.5","","2026-02-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15' Z1 + 45' em zona 2percurso sobe e desce","Run","15' Z1 + 45' em zona 2percurso sobe e desce","1","","2026-02-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-02-04","","0","","","","","0.863121926784515","0","","","","98","154","","","0.581859471571521","32.25","48","3","1","0","0","0","0","","","","","","","","","","","","","","",""
"Rampas - 6x1'30","Run","20' aquecimento 6x1'30 rampa forte com recuperação a descer a trote 5' easy","0.833333333333333","","2026-02-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim - z3 + z2 + z4","Swim","200 snorkel + fins 200 snorkel + pull 10x50 zona 3 - descanso 25"" 8x100 zona 2 - descanso 20"" 10x50 zona 4 - descanso 45"" 200 easy","0.833333333333333","2400","2026-02-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Builder (Heart Rate)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2","","2026-02-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Transição - 20' Run - Zn3","Run","Corrida em Zn3","0.333333333333333","","2026-02-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Builder (Heart Rate)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in heart rate zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2.5","","2026-02-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40' Run @Zn2","Run","Corrida em Zn2, piso soft e cadência +88 Pulso @140 5' descontração a andar","0.666666666666667","","2026-02-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10x(30"" Fast + 1'30 Easy)","Bike","30min up to Zn2 (easy) @90RPM 10x(30"" Fast + 1'30 Easy) 10min Cooldown @90rpm","1","","2026-02-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYM","Custom","","","","2026-02-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yoga","Other","","","","2026-02-11","","","","","","","0.66740220785141","","","","","78","108","","","0.533170539612559","20.8","40","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Rampas - 4x2'","Run","20' aquecimento 4x2' rampa forte com recuperação a descer a trote 5' easy","0.75","","2026-02-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim Z4","Swim","200 snorkel + fins 200 snorkel + pull 200 normal 10x50 zona 4 - descanso 45"" 400 Z2 200 easy","0.55","1700","2026-02-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Level 2","Bike","Flat course Rolar com acelarações a cada 10' (sprint de 10"")","2.16666666666667","","2026-02-14","20min Zona 1 10x 9'50"" Zona 2 10"" Zona 6 10' Cooldown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2.5","","2026-02-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-02-15","","9008.2802734375","300","532","1001.436","","0.927228033542633","2.69899988174438","","157","","156","175","","","1.29517335338564","153.54","1","3","8","30","7","6","1","","","","0","1","4","38","9","3","","","","","",""
"30' Run - Zn2","Run","Corrida em Zn2 com piso soft Pulso @140","0.5","","2026-02-16","","6006.06005859375","301","499","669.595","","0.616861939430237","2.70499992370605","","156","","152","173","","","1.31029001451438","104.8","1","2","14","16","2","3","0","","","","0","0","3","26","5","2","","","","","",""
"10x(30"" Fast + 1'30 Easy)","Bike","30min up to Zn2 (easy) @90RPM 10x(30"" Fast + 1'30 Easy) 10min Cooldown @90rpm","1","","2026-02-17","","29400.259765625","","","","","1.30580842494965","6.25400018692017","","","","142","185","","","0.837087098399511","102.02","25","10","6","10","5","11","11","","","","","","","","","","","","","","",""
"GYM","Custom","","","","2026-02-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-02-18","","0","","","","","0.768688380718231","0","","","","92","146","","","0.572649160460631","27.74","44","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"DAY OFF","Day Off","","","","2026-02-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-02-19","","6364.009765625","296","591","708.891","","0.665202796459198","2.65799999237061","","155","","154","186","","","1.30728831246406","112.15","0","4","7","22","3","2","1","","","","0","0","9","22","5","3","","","","","",""
"30' Run - Zn2 + 4 retas","Run","Corrida em Zn2 com piso soft Pulso @140 No final fazer 4 retas progressivas de 20""","0.5","","2026-02-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-02-21","","7008.68017578125","316","561","768.344","","0.67438417673111","2.88700008392334","","158","","157","175","","","1.35694246349428","122.08","1","1","6","18","3","10","2","","","","0","0","0","24","14","2","","","","","",""
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2","","2026-02-22","","63780.62109375","","","","","2.46637368202209","7.18300008773804","","","","137","180","","","0.725288807100529","146.97","35","60","29","19","5","1","0","","","","","","","","","","","","","","",""
"35' Run - Zn2","Run","Corrida em Zn2 com piso soft Pulso @140","0.583333333333333","","2026-02-23","","6006.60986328125","267","519","652.438","","0.678075313568115","2.46099996566772","","156","","141","150","","","1.14298399371347","87.66","1","33","7","0","0","0","0","","","","0","0","25","15","0","0","","","","","",""
"10x(30"" Fast + 1'30 Easy)","Bike","30min up to Zn2 (easy) @90RPM 10x(30"" Fast + 1'30 Easy) 10min Cooldown @90rpm","1","","2026-02-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYM","Custom","","","","2026-02-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAY OFF","Day Off","","","","2026-02-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2026-02-26","","25164.0390625","","","","","1.04876279830933","6.66499996185303","","","","151","182","","","0.84637527566922","83.34","6","11","9","20","7","8","2","","","","","","","","","","","","","","",""
"40' Run @Zn2","Run","Corrida em Zn2, piso soft e cadência +88 Pulso @140 5' descontração a andar","0.666666666666667","","2026-02-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim Pré-epoca 1","Swim","400 snorkel + fins 200 snorkel + pull 4x50 (pernas mariposa, braços bruços) 100 pernas+400pull + 200 estilos invertidos + 200 crawl + 100 pernas + 400 pull 200 easy","0.916666666666667","2400","2026-02-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-02-28","","9003.1396484375","304","447","986.499","","0.899888932704926","2.77900004386902","","158","","160","180","","","1.30640330915014","152.04","0","0","1","27","17","6","2","","","","1","0","0","42","9","1","","","","","",""
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2","","2026-03-01","","58577.078125","","","","","2.04464912414551","7.95800018310547","","","","146","175","","","0.801609641913814","148.18","18","31","19","29","15","11","0","","","","","","","","","","","","","","",""
"40' Run @Zn2","Run","Corrida em Zn2, piso soft e cadência +88 Pulso @140 5' descontração a andar","0.666666666666667","","2026-03-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-03-03","","8005.93017578125","323","506","889.277","","0.763509750366211","2.91300010681152","","158","","158","179","","","1.39541062656775","147.59","1","3","4","18","6","12","3","","","","0","0","1","19","20","6","","","","","",""
"GYM","Custom","","","","2026-03-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAY OFF","Day Off","","","","2026-03-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-03-05","","6006.77978515625","330","425","660.46","","0.555017232894897","3.00600004196167","","161","","155","168","","","1.41234003293182","109.13","1","0","1","25","5","1","0","","","","0","0","0","7","24","2","","","","","",""
"30"" Fast + 30"" easy","Run","20' Aquecimento 10x(30"" Fast + 30"" easy) NON STOP 10' Cooldown","0.666666666666667","6296","2026-03-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Level 2","Bike","Flat course Rolar com acelarações a cada 10' (sprint de 10"")","2.16666666666667","","2026-03-07","20min Zona 1 10x 9'50"" Zona 2 10"" Zona 6 10' Cooldown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Data limite pagamento Coach","Custom","","","","2026-03-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2.5","","2026-03-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-03-08","","21209.58984375","313","393","2285.238","","2.02995324134827","2.90199995040894","","163","","167","179","","","1.33635590537024","360.99","1","0","5","17","9","56","33","","","","0","0","5","69","46","1","","","","","",""
"aerobio progressivo","Run","começar o treino em zona1 e ir aumentando até terminar os últimos 15min em zona 3 (168 máximo batimentos )","1","","2026-03-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike tempo - 4x5'","Bike","20' aquecimento easy 4x5min Zn3 - recuperação 2' easy 12' cooldwon","1","","2026-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim Z2","Swim","400 snorkel + fins 400 snorkel + pull 4x75 palas z2 - descanso 15"" 5x200 com pull z2 - descanso 20"" 200 easy","0.666666666666667","1800","2026-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYM","Custom","","","","2026-03-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run - 2' + 1'","Run","20' WU 6x (2' FAST + 1' easy) NON STOP 10' CD","0.8","","2026-03-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim - threshold - wetsuit","Swim","400 snorkel +100 estilos+4X50 pernas 2X100L 25POLO 25 normal 2X200L SNORKLE Z3 - descanso 15"" 100 easy 4X50+2X100PADLES+4X50L zona 4 - descanso 15"" 100 easy","0.666666666666667","2100","2026-03-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-03-13","","5029.91015625","326","513","572.19","","0.488016128540039","2.86299991607666","","160","","152","174","","","1.44987591328759","100.93","0","7","4","11","5","2","1","","","","0","1","5","8","7","8","","","","","",""
"Level 2","Bike","Flat course Rolar com acelarações a cada 10' (sprint de 10"")","2.16666666666667","","2026-03-14","20min Zona 1 10x 9'50"" Zona 2 10"" Zona 6 10' Cooldown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2026-03-14","","1850","","","","","0.596423614290026","0.859266140269392","","23","","132","156","","","0.775455546894389","27.81","15","15","5","1","0","0","0","","","","","","","","","","","","","","",""
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","2.5","","2026-03-15","","68015.8515625","","","","","2.79434871673584","6.76100015640259","","","","144","180","","","0.780023975456777","193.23","29","47","31","35","13","9","2","","","","","","","","","","","","","","",""
"aerobio progressivo","Run","começar o treino em zona1 e ir aumentando até terminar os últimos 15min em zona 3 (máximo batimentos )","1","","2026-03-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike tempo - 4x5'","Bike","20' aquecimento easy 4x5min Zn3 - recuperação 2' easy 12' cooldwon","1","","2026-03-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim - mix intensidade - wetsuit","Swim","400L snorkel + fins 400 snorkel + pull 4x50 25 forte/25 facil 10x200 - descanso 15"" - 2 z2 - 4 z3 - 2 z2 - 2 z4 200 easy","1","3200","2026-03-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
